
2025/02/05 (00:25:02) | ===> btop++ v.1.4.0
2025/02/05 (00:25:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/05 (16:00:30) | ===> btop++ v.1.4.0
2025/02/05 (16:00:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/05 (17:48:33) | ===> btop++ v.1.4.0
2025/02/05 (17:48:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/11 (21:59:42) | ===> btop++ v.1.4.0
2025/02/11 (21:59:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/11 (21:59:47) | ===> btop++ v.1.4.0
2025/02/11 (21:59:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/12 (21:59:06) | ===> btop++ v.1.4.0
2025/02/12 (21:59:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (18:00:46) | ===> btop++ v.1.4.0
2025/02/27 (18:00:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/02 (18:03:23) | ===> btop++ v.1.4.0
2025/03/02 (18:03:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/02 (18:03:50) | ===> btop++ v.1.4.0
2025/03/02 (18:03:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/10 (23:09:00) | ===> btop++ v.1.4.0
2025/03/10 (23:09:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/10 (23:10:18) | ===> btop++ v.1.4.0
2025/03/10 (23:10:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/11 (18:24:42) | ===> btop++ v.1.4.0
2025/03/11 (18:24:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/13 (16:21:53) | ===> btop++ v.1.4.0
2025/03/13 (16:21:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/13 (16:24:55) | ===> btop++ v.1.4.0
2025/03/13 (16:24:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/13 (16:25:30) | ===> btop++ v.1.4.0
2025/03/13 (16:25:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
